#,HAuCl4,PVP,Glucose,NaOH,Time,A450,R,FWHM,WL,std
1,9.99,15.71,6.5,4.93,6.81,0,0,470,0,0 0 0 0
2,15,6.05,19.54,19.51,2.1,0.12228,6.2,127,519,0.00733 0.245   3.      0.     
3,17.47,10.88,16.58,17.7,2.26,0.08,4.74,151,515.5,0.003715 0.09     3.       0.5     
4,4.02,19.01,19.32,11.94,9.98,0.01842,7.49,119,516.5,7.1e-04 2.4e-01 1.0e+00 5.0e-01
5,18.53,6.37,11.45,16.05,2.62,0.0686,3.88,165,516.5,1.49e-03 2.05e-01 3.00e+00 5.00e-01
6,6.57,8.91,9.27,8.75,4.71,0.01918,4.26,152,517,4.225e-03 1.005e+00 1.400e+01 1.000e+00
7,7.83,13.33,8.26,5.43,5.77,0.01608,2.93,186,516,0 0 0 0
8,13.22,12.5,4.04,7.59,8.49,0.03254,3.46,171,519,2.93e-03 3.05e-01 5.00e+00 3.00e+00
9,4.57,19.72,18.72,11.15,9.59,0.0195,7.35,110,519.5,1.19e-03 4.10e-01 4.00e+00 1.50e+00
10,9.13,17.31,14.15,18.83,3.92,0.05286,6.56,128,516.5,0.004695 0.06     0.       0.5     
11,14.36,5.43,20,20,2.05,0.11138,6.25,123,520.5,0.00134 0.1     1.      0.5    
12,7.18,7.74,12.31,13.76,7.41,0.04522,8.34,115,517,0.001575 0.265    1.       0.      
13,13.75,4.3,19.91,19.67,2.14,0.11522,6.68,118,521,0.002035 0.01     0.       0.      
14,11.42,10.1,17.63,17.36,3.41,0.08076,6.45,126,517.5,0.0028 0.42   2.     0.5   
15,13.98,4,19.19,20,2.41,0.12163,6.93,118,520,0.00256 0.13    0.      0.     
16,19.94,10.29,5.26,6.7,5.16,0.0053,0,470,0,0. 0. 0. 0.
17,13.51,4.58,19.52,19.6,2.39,0.12252,7.38,116,519.5,0.010575 0.145    0.       0.5     
18,16.62,12.02,15.5,15.25,6.28,0.11205,7.4,121,516,0.00199 0.05    1.      0.     
19,13.21,4.72,19.43,19.6,2.37,0.11027,7.01,117,520,0.00154 0.      1.      0.     
20,5.7,17.98,10.2,16.87,8.25,0.02376,7.86,116,517.5,2.60e-04 3.45e-01 2.00e+00 5.00e-01
21,13.77,4.94,18.88,19.77,2.22,0.10882,6.44,122,520,0.00211 0.215   2.      0.     
22,11.92,14.46,7.94,13.19,9.11,0.05926,6.37,127,517,1.05e-04 8.60e-01 9.00e+00 0.00e+00
23,14.51,4,18.53,19.43,2.06,0.11893,6.88,119,520,0.00175 0.005   1.      0.     
24,4.37,7.27,13.23,9.99,2.63,0.01378,5.07,130,520,8.25e-04 5.90e-01 2.00e+00 2.00e+00
25,14.07,4.14,19.98,20,2.31,0.12056,6.93,117,520.5,0.004165 0.04     1.       0.5     
26,16.04,16.42,7.49,8.13,7.66,0.0491,3.64,174,516,0. 0. 0. 0.
27,14.35,4.66,19.86,19.69,2.17,0.11962,6.86,119,520,6.45e-04 7.50e-02 1.00e+00 0.00e+00
28,10.81,15.23,16.04,4.04,7.96,0,0,470,0,0 0 0 0
29,14.39,4.85,19.93,19.89,2.03,0.1139,6.74,120,520,0.001705 0.045    0.       0.      
30,19.11,9.33,12.16,4.53,3,0,0,470,0,0 0 0 0
